District,Year,Enrolled,Status,Percentage
20,2018,694760.0,Absent Percentage,5.9604755599055785
20,2018,989052.0,Absent Percentage,5.523167639315223
20,2018,794764.0,Absent Percentage,5.280687097050193
20,2018,1093308.0,Absent Percentage,5.845013482019705
20,2018,668628.0,Absent Percentage,8.457767248754164
20,2019,846544.0,Absent Percentage,5.316321419796254
20,2019,995967.0,Absent Percentage,4.858393902609223
20,2019,846154.0,Absent Percentage,5.035017266360497
20,2019,746220.0,Absent Percentage,6.196698024711211
20,2019,999942.0,Absent Percentage,6.695488338323623
20,2019,745723.0,Absent Percentage,6.073837068187517
20,2019,497365.0,Absent Percentage,10.993938053542166
20,2020,495293.0,Absent Percentage,12.819078807897547
